City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,nova olinda do norte,-3.8881,-59.0942,24.15,90,100,0.99,BR,1699383289
167,tashtyp,52.7939,89.8983,-8.97,97,100,0.8,RU,1699383290
168,debark',13.1561,37.8981,11.7,80,100,0.47,ET,1699383290
169,terracina,41.2863,13.2217,16.16,86,86,4.13,IT,1699383290
170,hithadhoo,-0.6,73.0833,27.1,76,100,2.89,MV,1699383290
171,vakhrushi,58.6847,50.0261,5.94,98,100,2.04,RU,1699383290
172,mokhsogollokh,61.4681,128.9203,-27.76,100,54,0.57,RU,1699383290
173,kidal,18.4411,1.4078,29.18,9,73,1.42,ML,1699383290
174,zouerate,22.7187,-12.4521,21.85,32,0,5.17,MR,1699383290
175,st. john's,47.5649,-52.7093,5.15,62,100,0.45,CA,1699383251
176,ushuaia,-54.8,-68.3,7.81,50,75,11.18,AR,1699383088
177,gunjur,13.2019,-16.7339,31.04,45,0,2.57,GM,1699383291
178,pangody,65.85,74.4859,-0.04,98,99,3.5,RU,1699383291
179,gizycko,54.0381,21.7644,8.32,82,100,4.12,PL,1699383291
180,karasburg,-28.0167,18.75,19.7,25,5,3.42,NA,1699383291
181,nadi,-17.8,177.4167,24.0,78,75,2.57,FJ,1699383291
182,al ghayzah,16.2079,52.176,27.35,66,61,3.45,YE,1699383291
183,hilo,19.7297,-155.09,28.68,90,100,2.57,US,1699383291
184,shenjiamen,29.9576,122.298,17.91,70,100,5.63,CN,1699383292
185,montrose,38.4166,-108.2673,13.76,21,30,13.45,US,1699383292
186,nybro,56.7446,15.9071,8.36,96,75,2.31,SE,1699383292
187,west island,-12.1568,96.8225,25.99,83,40,4.63,CC,1699383292
188,dolores,-36.3132,-57.6792,30.05,39,69,5.77,AR,1699383292
189,atafu village,-8.5421,-172.5159,28.67,78,100,6.69,TK,1699383292
190,hadibu,12.65,54.0333,26.44,73,25,3.57,YE,1699383292
191,petoskey,45.3733,-84.9553,3.17,83,100,3.09,US,1699383117
192,hongjiang,27.11,109.9956,17.25,87,100,0.77,CN,1699383292
193,nar'yan-mar,67.6713,53.087,0.62,100,100,4.02,RU,1699383293
194,luderitz,-26.6481,15.1594,17.16,76,0,10.19,NA,1699383293
195,quirihue,-36.2833,-72.5333,19.4,38,5,3.92,CL,1699383293
196,khandyga,62.6667,135.6,-34.42,100,25,0.5,RU,1699383293
197,tanumah,27.1,44.1333,25.5,30,0,2.73,SA,1699383293
198,port mathurin,-19.6833,63.4167,24.8,79,18,4.79,MU,1699383293
199,cheria,35.2731,7.7519,14.12,62,98,3.74,DZ,1699383293
200,utrik,11.2278,169.8474,27.86,78,100,10.38,MH,1699383293
201,new norfolk,-42.7826,147.0587,12.72,98,100,0.97,AU,1699383293
202,georgetown,5.4112,100.3354,28.3,92,20,1.54,MY,1699383294
203,jodhpur,26.2867,73.03,25.05,28,0,2.61,IN,1699383294
204,kodiak,57.79,-152.4072,0.73,80,100,0.0,US,1699383294
205,kas,36.2018,29.6377,20.97,78,0,2.66,TR,1699383294
206,sisimiut,66.9395,-53.6735,-5.33,61,100,4.15,GL,1699383294
207,prado,-17.3411,-39.2208,25.45,57,16,5.63,BR,1699383294
208,antsiranana,-12.2787,49.2917,25.4,80,9,6.4,MG,1699383294
209,flying fish cove,-10.4217,105.6791,24.82,94,75,2.57,CX,1699383294
210,aripuana,-9.1667,-60.6333,34.87,43,83,0.89,BR,1699383148
211,ponta delgada,37.7333,-25.6667,20.66,77,40,8.23,PT,1699383295
212,kindu,-2.95,25.95,21.86,93,17,0.93,CD,1699383295
213,north bay,46.3168,-79.4663,0.06,82,100,6.17,CA,1699383295
214,merowe,18.4833,31.8167,29.99,27,0,4.34,SD,1699383295
215,truckee,39.328,-120.1833,8.39,74,75,0.89,US,1699383295
216,karacabey,40.2152,28.4038,17.21,74,97,0.13,TR,1699383295
217,narok,-1.0783,35.8601,15.84,88,100,1.95,KE,1699383295
218,alofi,-19.0595,-169.9187,22.94,83,40,1.54,NU,1699383220
219,caluula,11.9661,50.7569,27.05,72,70,4.38,SO,1699383295
220,chibuto,-24.6867,33.5306,22.5,81,99,7.58,MZ,1699383296
221,tura,25.5198,90.2201,17.67,89,0,1.41,IN,1699383296
222,kamloops,50.6665,-120.3192,8.19,91,75,3.09,CA,1699383296
223,tutoia,-2.7619,-42.2744,29.05,67,95,7.24,BR,1699383296
224,santa ana,33.7456,-117.8678,21.22,73,100,3.6,US,1699383048
225,versailles,48.8,2.1333,9.81,82,0,4.12,FR,1699383296
226,bu'aale,1.0833,42.5833,24.9,90,99,2.97,SO,1699383296
227,camocim,-2.9022,-40.8411,30.69,55,100,9.98,BR,1699383296
228,briancon,44.9,6.65,2.42,96,58,1.53,FR,1699383296
229,afaahiti,-17.75,-149.2833,25.93,84,89,10.26,PF,1699383297
230,taulaga,-11.0553,-171.0883,28.28,78,94,6.99,AS,1699383297
231,carbonear,47.7332,-53.2148,5.41,60,100,2.39,CA,1699383297
232,crane,31.3974,-102.3501,29.22,19,0,3.35,US,1699383297
233,maturin,9.75,-63.1767,32.39,57,100,1.93,VE,1699383199
234,vila franca do campo,37.7167,-25.4333,20.49,99,78,6.09,PT,1699383297
235,viveiro,43.6623,-7.5934,11.8,82,100,4.53,ES,1699383297
236,constantia,44.1833,28.65,13.38,68,100,4.29,RO,1699383297
237,errachidia,31.9275,-4.4285,18.03,16,0,7.72,MA,1699383297
238,vorkuta,67.5,64.0,0.42,99,100,2.72,RU,1699383297
239,nizhnesortymskiy,62.4397,71.7603,-1.24,92,100,3.27,RU,1699383298
240,sosnovo-ozerskoye,52.5249,111.5418,-11.26,92,100,2.54,RU,1699383298
241,anadyr,64.75,177.4833,-11.72,79,20,4.0,RU,1699383298
242,san pedro pochutla,15.7333,-96.4667,31.85,58,71,3.27,MX,1699383030
243,tolanaro,-25.0319,46.9987,24.04,73,20,10.8,MG,1699383298
244,ghat,24.9647,10.1728,25.46,12,6,2.96,LY,1699383298
245,bubaque,11.2833,-15.8333,29.24,74,11,5.15,GW,1699383298
246,robore,-18.3333,-59.75,38.05,39,20,7.72,BO,1699383298
247,kingston,17.997,-76.7936,31.53,62,20,2.57,JM,1699383165
248,mancio lima,-7.6142,-72.8958,34.04,55,75,2.57,BR,1699383298
249,tynda,55.1667,124.7167,-16.22,93,100,1.16,RU,1699383299
250,road town,18.4167,-64.6167,31.05,79,40,1.54,VG,1699383287
251,asamankese,5.8601,-0.6635,24.77,92,28,1.56,GH,1699383299
252,mana,5.6592,-53.7767,29.54,72,41,5.72,GF,1699383299
253,santiago de cao,-7.9589,-79.2392,21.07,78,57,6.17,PE,1699383299
